id;land_reference_no;case_no;village_name;accuser_name;defendant_name;accuser_lawyer;defendant_lawyer;case_officer;case_officer_add;total_area;land_acquisition_officer_no;section_11_judgment_no;section_4_notice_date;judgement_date;date_of_decision;case_filing_date;case_status;last_hearing_date;next_hearing_date;nature_result;amount_deposite_in_court;claim_amount;deposited_cheque_no;depositedcheque_date;add_interest_amount_dist_court;add_interest_application_no;add_int_cheque_no;add_int_cheque_date;bank_guarantee_app_no;court_name;court_type;case_type;is_activated;freefield_1;freefield_2;freefield_3;freefield_4;freefield_5;freefield_6;freefield_7;freefield_8;freefield_9;freefield_10;last_modified_by;last_modified
1;Kids;moratorium alarm Mouse;withdrawal Lead;Garden B2C;Pants model Plastic;HTTP Engineer;United enable;Ergonomic Re-contextualized strategic;Architect Mouse firewall;Fantastic;intuitive Island Rubber;Books Avon;explicit Florida optical;Wisconsin;Agent Jewelery;drive Wisconsin Timor-Leste;CLEARED;deliverables payment;modular;JUDGEMENT;Iowa Tuna Borders;Practical matrix sensor;moratorium invoice;Mouse;Open-architected benchmark Investor;harness Mississippi;magenta deposit Iran;XSS;Avon;Manager indigo;OTHERS;DARKHAST;false;hack Tuna alarm;orange;Cambridgeshire calculate magnetic;Total Intranet backing;Christmas;port;Cotton Account;Practical;Assurance bypass methodologies;integrate Berkshire;compress virtual;solid
2;Steel International;Factors open-source action-items;reinvent mesh Louisiana;programming;transition;scale Fish parse;Plastic copy;iterate;wireless panel National;lime;gold;systems Toys;Planner;De-engineered Saint Oval;Cotton;Carolina Camp Suriname;ONPROGRESS;cross-platform models;Account Self-enabling Berkshire;JUDGEMENT;Way Refined;input help-desk Architect;backing dot-com;Mandatory;e-commerce exploit matrix;navigate;Licensed Specialist Crest;Delaware;Virginia red Open-source;invoice salmon Wooden;OTHERS;CIVILMA;true;niches;Chair;pixel Dynamic;leverage XML Gorgeous;RSS Car Concrete;e-commerce plum;product;Berkshire;Fantastic platforms Computer;green;Specialist;Bedfordshire Wooden
3;bottom-line Tuna feed;azure Polarised indexing;Metal Applications invoice;Gold Sweden;online deliver application;bypassing analyzing tan;Point Product;users Springs;virtual Junctions;sensor;Frozen B2B;Books North;Facilitator relationships;Engineer port;channels;Operative viral Representative;CREATED;Buckinghamshire interface;Baby Account;JUDGEMENT;Personal withdrawal Mississippi;value-added Functionality;specifically;Chicken Sausages Multi-tiered;Connecticut;next-generation Practical ROI;Washington XML;tan bluetooth;California Product Synergistic;Granite;OTHERS;CIVILMA;true;Cambridgeshire;De-engineered implementation;transmitter;invoice;Burundi Accounts;microchip parsing online;Nebraska;even-keeled Branding Awesome;silver;Car Car;Synergized black XML;Neck deposit
4;web-enabled Accountability whiteboard;Strategist withdrawal withdrawal;Fresh Rapids West;Movies;navigate input connect;B2B Buckinghamshire Berkshire;calculating hacking;calculate;Keyboard;state systemic;Loan fuchsia Soap;Jamaica;Massachusetts Multi-channelled Awesome;Plastic Business-focused;Borders haptic;generate Rubber matrix;CREATED;azure;deploy experiences;OTHERS;Soft;Fresh;withdrawal;neural benchmark productize;Investment Bulgaria;Assurance;Belgium secondary;Baby;Tuvalu;Assistant static;DISTRICTCOURT;CIVILMA;false;Chicken redundant wireless;collaborative Borders Granite;Centralized;Pennsylvania Quality-focused;compressing;Data;Austria digital;Street;time-frame;Qatari Central Practical;Customer Division navigating;up Executive Books
5;South;SSL;moratorium;JBOD calculate;payment Licensed;scale;Buckinghamshire Cambridgeshire;Manat Personal;Africa Pants Fantastic;Handcrafted;Unbranded;Horizontal black engineer;Georgia Shoes Locks;Programmable;copy withdrawal Jersey;cyan;CREATED;SAS Customizable;Movies;OTHERS;invoice;methodology generating Pants;benchmark Fish;Future bluetooth application;Dalasi throughput systemic;navigate iterate;integrate;base intuitive;Minnesota;Indiana virtual;HIGHCOURT;CIVILMA;false;turquoise Keyboard;Salad Afghani withdrawal;Alabama;calculating;multimedia;optical neural;Car;1080p;up Row;Towels SDD;Distributed;Automated compressing
6;Plastic Bike;payment Unbranded Lithuanian;Intranet Mexico;encoding;customized B2B;Cross-platform;tan Savings;Strategist Representative;integrate Pants;revolutionize;hybrid Consultant;Rustic;Vatu web-readiness methodical;Shirt;optimize strategy calculate;Tenge Liaison pixel;CREATED;backing Guinea;Loan;OTHERS;protocol Underpass;Analyst Handmade web-enabled;deposit;bus;Assurance copy;COM;invoice;Bacon;Views executive;Montana blue Account;HIGHCOURT;OTHERS;true;virtual hack;Integration driver Accounts;copy Operations;Fiji;quantify;Gorgeous CSS;Salad salmon;HDD;network Customizable;Card Metal;Handmade initiatives white;Devolved
7;Multi-channelled Future;Salad transmitting;haptic overriding black;Shoes;Pants;invoice cohesive Chicken;full-range;sky defect fresh-thinking;Tennessee Wisconsin;withdrawal Light;Chips synergies Customer;red Music Romania;Music;next-generation;Associate portals Corporate;Soft;CLEARED;Soft Director;Steel;OTHERS;compressing Shirt optical;JBOD;incremental Account visionary;Human Computer Naira;circuit;Key;Somalia;Applications matrix;Isle;Yemen Loan solutions;HIGHCOURT;LARSEC18;true;non-volatile;program;Vermont Branding base;Fiji;Fantastic Small recontextualize;bypassing Account;Greece and;Cambridgeshire Architect;Spring Cotton;e-tailers redundant Account;Liberian Harbors aggregate;Loan
8;reciprocal;Towels violet;quantify Cambridgeshire radical;Mouse Sao;Stravenue Buckinghamshire Bedfordshire;functionalities Nebraska payment;transmitter;withdrawal virtual up;pixel systemic Direct;primary migration;black SMTP;analyzing success Account;interface sensor Mobility;brand;wireless discrete;bypass mobile;ONPROGRESS;maroon Rustic innovative;Ball Small Frozen;JUDGEMENT;Garden;Harbors;Bike exploit Awesome;orange connecting National;Market Strategist;Small Factors Account;initiative quantifying clear-thinking;Guyana Shore;Loan;multi-tasking hacking;OTHERS;OTHERS;true;fuchsia;Afghani Spain tolerance;Brand;Metal Ergonomic Future;drive Compatible gold;California;gold Forward benchmark;Gorgeous Bedfordshire;Administrator;calculating;open-source Awesome;backing Lead reintermediate
9;process Analyst;maroon deliverables;neural;orchid;gold;Human impactful;Switzerland;Global regional web-readiness;Web cross-platform Cordoba;Awesome;invoice Checking;dynamic 1080p;SDD Principal;deposit Concrete Tenge;help-desk;sensor;CLEARED;Savings;calculate Chips networks;JUDGEMENT;Fantastic payment;seamless real-time;Peso Walk online;Account;invoice;Table;Operations National;eyeballs;microchip Tennessee;web-enabled;DISTRICTCOURT;LARSEC18;true;green;Liaison orchid Bedfordshire;Focused Consultant;Borders;copy;transmit revolutionize wireless;quantifying;Brand;Awesome Web;Accounts bypassing New;Awesome;parsing B2C Directives
10;Fork;niches;salmon;Borders Program Incredible;Account;card Loan;port Administrator;Mouse Accountability;navigate Account;input Small;alliance Product;Cambridgeshire Account;Home Alaska;zero frame Poland;empowering value-added;experiences;CLEARED;RAM grey;Frozen;OTHERS;Alabama bypassing;Shirt schemas;Nauru haptic generating;radical redundant Automated;backing;haptic;demand-driven Ball initiatives;e-tailers Incredible Licensed;infrastructure;experiences metrics;DISTRICTCOURT;LARSEC18;false;payment Communications;Specialist Metal;Investment Sleek;primary TCP;Borders;open-source reciprocal Ball;Bedfordshire Frozen Avon;Account;Senegal;Analyst calculate Intelligent;vertical Program;back-end Tuna
